Step 10: {'loss': 1.7802, 'grad_norm': 0.5415132641792297, 'learning_rate': 0.0004995833333333333, 'epoch': 0.002777777777777778}
Step 20: {'loss': 1.4852, 'grad_norm': 1.1231003999710083, 'learning_rate': 0.0004991203703703704, 'epoch': 0.005555555555555556}
Step 30: {'loss': 1.3398, 'grad_norm': 2.1442008018493652, 'learning_rate': 0.0004986574074074074, 'epoch': 0.008333333333333333}
Step 40: {'loss': 1.3054, 'grad_norm': 1.3634874820709229, 'learning_rate': 0.0004981944444444444, 'epoch': 0.011111111111111112}
Step 50: {'loss': 1.1542, 'grad_norm': 1.5484777688980103, 'learning_rate': 0.0004977314814814815, 'epoch': 0.013888888888888888}
Step 60: {'loss': 1.0429, 'grad_norm': 1.2153621912002563, 'learning_rate': 0.0004972685185185185, 'epoch': 0.016666666666666666}
Step 70: {'loss': 0.9281, 'grad_norm': 1.1214637756347656, 'learning_rate': 0.0004968055555555556, 'epoch': 0.019444444444444445}
Step 80: {'loss': 1.1378, 'grad_norm': 2.2185983657836914, 'learning_rate': 0.0004963425925925926, 'epoch': 0.022222222222222223}
Step 90: {'loss': 1.0385, 'grad_norm': 2.1870877742767334, 'learning_rate': 0.0004958796296296296, 'epoch': 0.025}
Step 100: {'loss': 1.0272, 'grad_norm': 1.2924035787582397, 'learning_rate': 0.0004954166666666667, 'epoch': 0.027777777777777776}
Step 110: {'loss': 1.1015, 'grad_norm': 1.4948315620422363, 'learning_rate': 0.0004949537037037037, 'epoch': 0.030555555555555555}
Step 120: {'loss': 0.9431, 'grad_norm': 1.189732313156128, 'learning_rate': 0.0004944907407407408, 'epoch': 0.03333333333333333}
Step 130: {'loss': 1.0342, 'grad_norm': 1.9049773216247559, 'learning_rate': 0.0004940277777777778, 'epoch': 0.03611111111111111}
Step 140: {'loss': 1.0166, 'grad_norm': 1.1960526704788208, 'learning_rate': 0.0004935648148148148, 'epoch': 0.03888888888888889}
Step 150: {'loss': 1.0123, 'grad_norm': 2.265439748764038, 'learning_rate': 0.0004931018518518519, 'epoch': 0.041666666666666664}
Step 160: {'loss': 1.0761, 'grad_norm': 1.3109241724014282, 'learning_rate': 0.0004926388888888889, 'epoch': 0.044444444444444446}
Step 170: {'loss': 1.1634, 'grad_norm': 1.834290623664856, 'learning_rate': 0.000492175925925926, 'epoch': 0.04722222222222222}
Step 180: {'loss': 1.0462, 'grad_norm': 1.5588880777359009, 'learning_rate': 0.000491712962962963, 'epoch': 0.05}
Step 190: {'loss': 1.112, 'grad_norm': 1.7409865856170654, 'learning_rate': 0.00049125, 'epoch': 0.05277777777777778}
Step 200: {'loss': 1.1073, 'grad_norm': 1.2862030267715454, 'learning_rate': 0.0004907870370370371, 'epoch': 0.05555555555555555}
Step 210: {'loss': 1.0208, 'grad_norm': 1.4972022771835327, 'learning_rate': 0.0004903240740740741, 'epoch': 0.058333333333333334}
Step 220: {'loss': 0.8986, 'grad_norm': 1.3553742170333862, 'learning_rate': 0.0004898611111111112, 'epoch': 0.06111111111111111}
Step 230: {'loss': 0.9641, 'grad_norm': 1.1785223484039307, 'learning_rate': 0.0004893981481481482, 'epoch': 0.06388888888888888}
Step 240: {'loss': 0.9205, 'grad_norm': 1.1666438579559326, 'learning_rate': 0.0004889351851851852, 'epoch': 0.06666666666666667}
Step 250: {'loss': 0.9783, 'grad_norm': 0.9372712969779968, 'learning_rate': 0.0004884722222222222, 'epoch': 0.06944444444444445}
