Step 1: {'loss': 1.9281, 'grad_norm': 10.75, 'learning_rate': 0.0, 'num_tokens': 6870.0, 'mean_token_accuracy': 0.6471504122018814, 'epoch': 0.0035746201966041107}
Step 2: {'loss': 1.8842, 'grad_norm': 10.5, 'learning_rate': 2.3809523809523808e-06, 'num_tokens': 14029.0, 'mean_token_accuracy': 0.6549101024866104, 'epoch': 0.0071492403932082215}
Step 3: {'loss': 1.7438, 'grad_norm': 9.25, 'learning_rate': 4.7619047619047615e-06, 'num_tokens': 21955.0, 'mean_token_accuracy': 0.6773037612438202, 'epoch': 0.010723860589812333}
Step 4: {'loss': 1.8404, 'grad_norm': 10.0625, 'learning_rate': 7.142857142857143e-06, 'num_tokens': 29279.0, 'mean_token_accuracy': 0.6695668995380402, 'epoch': 0.014298480786416443}
Step 5: {'loss': 1.894, 'grad_norm': 10.625, 'learning_rate': 9.523809523809523e-06, 'num_tokens': 36132.0, 'mean_token_accuracy': 0.6606968641281128, 'epoch': 0.017873100983020553}
Step 6: {'loss': 1.8026, 'grad_norm': 10.0, 'learning_rate': 1.1904761904761905e-05, 'num_tokens': 43261.0, 'mean_token_accuracy': 0.6684628278017044, 'epoch': 0.021447721179624665}
Step 7: {'loss': 1.7598, 'grad_norm': 8.4375, 'learning_rate': 1.4285714285714285e-05, 'num_tokens': 50273.0, 'mean_token_accuracy': 0.6785538345575333, 'epoch': 0.025022341376228777}
Step 8: {'loss': 1.9289, 'grad_norm': 8.1875, 'learning_rate': 1.6666666666666667e-05, 'num_tokens': 56962.0, 'mean_token_accuracy': 0.6506290435791016, 'epoch': 0.028596961572832886}
Step 9: {'loss': 1.7788, 'grad_norm': 6.8125, 'learning_rate': 1.9047619047619046e-05, 'num_tokens': 64111.0, 'mean_token_accuracy': 0.6694523841142654, 'epoch': 0.032171581769437}
Step 10: {'loss': 1.6993, 'grad_norm': 6.25, 'learning_rate': 2.1428571428571428e-05, 'num_tokens': 71541.0, 'mean_token_accuracy': 0.6823606044054031, 'epoch': 0.035746201966041107}
Step 11: {'loss': 1.6275, 'grad_norm': 5.59375, 'learning_rate': 2.380952380952381e-05, 'num_tokens': 79329.0, 'mean_token_accuracy': 0.6953314691781998, 'epoch': 0.03932082216264522}
Step 12: {'loss': 1.7532, 'grad_norm': 5.875, 'learning_rate': 2.6190476190476192e-05, 'num_tokens': 86094.0, 'mean_token_accuracy': 0.6768700927495956, 'epoch': 0.04289544235924933}
Step 13: {'loss': 1.8865, 'grad_norm': 5.8125, 'learning_rate': 2.857142857142857e-05, 'num_tokens': 92383.0, 'mean_token_accuracy': 0.6523146778345108, 'epoch': 0.04647006255585344}
Step 14: {'loss': 1.6453, 'grad_norm': 4.8125, 'learning_rate': 3.095238095238095e-05, 'num_tokens': 99589.0, 'mean_token_accuracy': 0.6859105378389359, 'epoch': 0.050044682752457555}
Step 15: {'loss': 1.7503, 'grad_norm': 5.03125, 'learning_rate': 3.3333333333333335e-05, 'num_tokens': 106075.0, 'mean_token_accuracy': 0.6624821871519089, 'epoch': 0.05361930294906166}
