Step 10: {'loss': 1.4158, 'grad_norm': 1.1269850730895996, 'learning_rate': 0.004995833333333333, 'epoch': 0.002777777777777778}
Step 20: {'loss': 1.1296, 'grad_norm': 0.878030002117157, 'learning_rate': 0.004991203703703704, 'epoch': 0.005555555555555556}
Step 30: {'loss': 1.0986, 'grad_norm': 0.6804242134094238, 'learning_rate': 0.004986574074074074, 'epoch': 0.008333333333333333}
Step 40: {'loss': 1.0363, 'grad_norm': 0.643130898475647, 'learning_rate': 0.004981944444444444, 'epoch': 0.011111111111111112}
Step 50: {'loss': 0.9282, 'grad_norm': 0.5384539365768433, 'learning_rate': 0.0049773148148148155, 'epoch': 0.013888888888888888}
Step 60: {'loss': 1.1567, 'grad_norm': 0.8043615221977234, 'learning_rate': 0.004972685185185185, 'epoch': 0.016666666666666666}
Step 70: {'loss': 1.0216, 'grad_norm': 0.5433093905448914, 'learning_rate': 0.004968055555555555, 'epoch': 0.019444444444444445}
Step 80: {'loss': 0.9586, 'grad_norm': 0.578259289264679, 'learning_rate': 0.004963425925925926, 'epoch': 0.022222222222222223}
Step 90: {'loss': 0.9974, 'grad_norm': 0.6064121127128601, 'learning_rate': 0.004958796296296296, 'epoch': 0.025}
Step 100: {'loss': 0.966, 'grad_norm': 0.5604612827301025, 'learning_rate': 0.004954166666666667, 'epoch': 0.027777777777777776}
Step 110: {'loss': 0.9796, 'grad_norm': 0.8032829761505127, 'learning_rate': 0.004949537037037037, 'epoch': 0.030555555555555555}
Step 120: {'loss': 0.9957, 'grad_norm': 0.4847157597541809, 'learning_rate': 0.004944907407407407, 'epoch': 0.03333333333333333}
Step 130: {'loss': 0.9833, 'grad_norm': 0.9057942628860474, 'learning_rate': 0.004940277777777778, 'epoch': 0.03611111111111111}
Step 140: {'loss': 1.0743, 'grad_norm': 0.6379407048225403, 'learning_rate': 0.004935648148148148, 'epoch': 0.03888888888888889}
Step 150: {'loss': 1.0412, 'grad_norm': 0.6803471446037292, 'learning_rate': 0.004931018518518519, 'epoch': 0.041666666666666664}
Step 160: {'loss': 1.1122, 'grad_norm': 0.625744104385376, 'learning_rate': 0.004926388888888889, 'epoch': 0.044444444444444446}
Step 170: {'loss': 1.0251, 'grad_norm': 0.560485303401947, 'learning_rate': 0.004921759259259259, 'epoch': 0.04722222222222222}
Step 180: {'loss': 1.0586, 'grad_norm': 0.7657594084739685, 'learning_rate': 0.00491712962962963, 'epoch': 0.05}
Step 190: {'loss': 0.9179, 'grad_norm': 0.6272537708282471, 'learning_rate': 0.0049125, 'epoch': 0.05277777777777778}
Step 200: {'loss': 0.982, 'grad_norm': 0.46627846360206604, 'learning_rate': 0.004907870370370371, 'epoch': 0.05555555555555555}
Step 210: {'loss': 0.9824, 'grad_norm': 0.5475212335586548, 'learning_rate': 0.004903240740740741, 'epoch': 0.058333333333333334}
Step 220: {'loss': 1.028, 'grad_norm': 0.5669561624526978, 'learning_rate': 0.004898611111111111, 'epoch': 0.06111111111111111}
Step 230: {'loss': 1.0368, 'grad_norm': 0.7656169533729553, 'learning_rate': 0.004893981481481482, 'epoch': 0.06388888888888888}
Step 240: {'loss': 0.9995, 'grad_norm': 0.4476396441459656, 'learning_rate': 0.004889351851851852, 'epoch': 0.06666666666666667}
Step 250: {'loss': 0.9862, 'grad_norm': 0.7722144722938538, 'learning_rate': 0.004884722222222222, 'epoch': 0.06944444444444445}
Step 260: {'loss': 0.9798, 'grad_norm': 0.7332770824432373, 'learning_rate': 0.004880092592592593, 'epoch': 0.07222222222222222}
Step 270: {'loss': 0.9517, 'grad_norm': 0.8462305068969727, 'learning_rate': 0.004875462962962963, 'epoch': 0.075}
Step 280: {'loss': 0.9716, 'grad_norm': 0.6550981998443604, 'learning_rate': 0.004870833333333333, 'epoch': 0.07777777777777778}
Step 290: {'loss': 0.953, 'grad_norm': 0.43412935733795166, 'learning_rate': 0.004866203703703704, 'epoch': 0.08055555555555556}
Step 300: {'loss': 1.0119, 'grad_norm': 0.3833317458629608, 'learning_rate': 0.004861574074074075, 'epoch': 0.08333333333333333}
Step 310: {'loss': 0.9494, 'grad_norm': 0.5333985090255737, 'learning_rate': 0.004856944444444444, 'epoch': 0.08611111111111111}
Step 320: {'loss': 0.9071, 'grad_norm': 0.4335028827190399, 'learning_rate': 0.004852314814814815, 'epoch': 0.08888888888888889}
Step 330: {'loss': 0.9709, 'grad_norm': 0.6619937419891357, 'learning_rate': 0.004847685185185186, 'epoch': 0.09166666666666666}
Step 340: {'loss': 0.9377, 'grad_norm': 0.6629326939582825, 'learning_rate': 0.004843055555555555, 'epoch': 0.09444444444444444}
Step 350: {'loss': 1.0081, 'grad_norm': 0.8062015771865845, 'learning_rate': 0.004838425925925926, 'epoch': 0.09722222222222222}
Step 360: {'loss': 0.9023, 'grad_norm': 0.498205304145813, 'learning_rate': 0.004833796296296296, 'epoch': 0.1}
Step 370: {'loss': 0.971, 'grad_norm': 0.7333583831787109, 'learning_rate': 0.0048291666666666665, 'epoch': 0.10277777777777777}
Step 380: {'loss': 1.0143, 'grad_norm': 0.7384545803070068, 'learning_rate': 0.004824537037037037, 'epoch': 0.10555555555555556}
Step 390: {'loss': 0.9534, 'grad_norm': 0.6361697316169739, 'learning_rate': 0.004819907407407407, 'epoch': 0.10833333333333334}
Step 400: {'loss': 1.0085, 'grad_norm': 0.854253351688385, 'learning_rate': 0.004815277777777778, 'epoch': 0.1111111111111111}
Step 410: {'loss': 1.0186, 'grad_norm': 0.5366758704185486, 'learning_rate': 0.004810648148148148, 'epoch': 0.11388888888888889}
Step 420: {'loss': 0.96, 'grad_norm': 0.530992329120636, 'learning_rate': 0.0048060185185185185, 'epoch': 0.11666666666666667}
Step 430: {'loss': 0.9745, 'grad_norm': 0.6405065655708313, 'learning_rate': 0.004801388888888889, 'epoch': 0.11944444444444445}
Step 440: {'loss': 0.9256, 'grad_norm': 0.6201745867729187, 'learning_rate': 0.004796759259259259, 'epoch': 0.12222222222222222}
Step 450: {'loss': 0.9349, 'grad_norm': 0.8297809958457947, 'learning_rate': 0.00479212962962963, 'epoch': 0.125}
Step 460: {'loss': 0.9741, 'grad_norm': 0.4289446175098419, 'learning_rate': 0.0047875, 'epoch': 0.12777777777777777}
Step 470: {'loss': 0.9222, 'grad_norm': 0.633669376373291, 'learning_rate': 0.0047828703703703705, 'epoch': 0.13055555555555556}
Step 480: {'loss': 0.9617, 'grad_norm': 0.9116618037223816, 'learning_rate': 0.004778240740740741, 'epoch': 0.13333333333333333}
Step 490: {'loss': 0.9704, 'grad_norm': 0.5910740494728088, 'learning_rate': 0.004773611111111111, 'epoch': 0.1361111111111111}
Step 500: {'loss': 0.9062, 'grad_norm': 0.40948015451431274, 'learning_rate': 0.004768981481481482, 'epoch': 0.1388888888888889}
Step 510: {'loss': 1.0623, 'grad_norm': 0.7724609971046448, 'learning_rate': 0.004764351851851852, 'epoch': 0.14166666666666666}
Step 520: {'loss': 0.9438, 'grad_norm': 0.6548120975494385, 'learning_rate': 0.0047597222222222225, 'epoch': 0.14444444444444443}
Step 530: {'loss': 1.015, 'grad_norm': 0.742460310459137, 'learning_rate': 0.004755092592592593, 'epoch': 0.14722222222222223}
