Step 1: {'loss': 1.7356, 'grad_norm': 36.75, 'learning_rate': 0.0, 'num_tokens': 8346.0, 'mean_token_accuracy': 0.7080622911453247, 'epoch': 0.003616636528028933}
Step 2: {'loss': 1.6975, 'grad_norm': 33.0, 'learning_rate': 2.3809523809523808e-06, 'num_tokens': 17185.0, 'mean_token_accuracy': 0.7126031517982483, 'epoch': 0.007233273056057866}
Step 3: {'loss': 1.7511, 'grad_norm': 37.25, 'learning_rate': 4.7619047619047615e-06, 'num_tokens': 25083.0, 'mean_token_accuracy': 0.7148924022912979, 'epoch': 0.0108499095840868}
Step 4: {'loss': 1.8227, 'grad_norm': 28.375, 'learning_rate': 7.142857142857143e-06, 'num_tokens': 32670.0, 'mean_token_accuracy': 0.7013514190912247, 'epoch': 0.014466546112115732}
Step 5: {'loss': 1.6894, 'grad_norm': 25.25, 'learning_rate': 9.523809523809523e-06, 'num_tokens': 40931.0, 'mean_token_accuracy': 0.7145270109176636, 'epoch': 0.018083182640144666}
Step 6: {'loss': 1.7194, 'grad_norm': 27.5, 'learning_rate': 1.1904761904761905e-05, 'num_tokens': 48800.0, 'mean_token_accuracy': 0.7053852528333664, 'epoch': 0.0216998191681736}
Step 7: {'loss': 1.7225, 'grad_norm': 19.75, 'learning_rate': 1.4285714285714285e-05, 'num_tokens': 56638.0, 'mean_token_accuracy': 0.6978476494550705, 'epoch': 0.02531645569620253}
Step 8: {'loss': 1.603, 'grad_norm': 11.4375, 'learning_rate': 1.6666666666666667e-05, 'num_tokens': 64684.0, 'mean_token_accuracy': 0.7247360199689865, 'epoch': 0.028933092224231464}
Step 9: {'loss': 1.5419, 'grad_norm': 14.9375, 'learning_rate': 1.9047619047619046e-05, 'num_tokens': 73190.0, 'mean_token_accuracy': 0.7231251001358032, 'epoch': 0.0325497287522604}
Step 10: {'loss': 1.5875, 'grad_norm': 13.25, 'learning_rate': 2.1428571428571428e-05, 'num_tokens': 81404.0, 'mean_token_accuracy': 0.7100774049758911, 'epoch': 0.03616636528028933}
Step 11: {'loss': 1.5119, 'grad_norm': 11.4375, 'learning_rate': 2.380952380952381e-05, 'num_tokens': 90726.0, 'mean_token_accuracy': 0.717437207698822, 'epoch': 0.039783001808318265}
